ORG4CODE,ORG8CODE,DISTRICT_N,DISTRICT_T,MEMBERLIST,TUITION,TUITION_GR,TUITION_TO,SUPERINTEN,START_GRAD,END_GRADE,SHAPE_AREA,SHAPE_LEN
0052,00520000,Carver,MuniK12,,N,,,,PK,12,102880648.168,47726.1906778
0001,00010000,Abington,MuniK12,,N,,,,PK,12,26390847.0697,24139.4131198
0212,02120000,North Attleborough,MuniK12,,N,,,,PK,12,50191425.7032,32069.5274804
0322,03220000,West Boylston,MuniK12,,N,,,,PK,12,35905571.4877,30912.773965
0056,00560000,Chelmsford,MuniK12,,N,,,,PK,12,59787673.8263,38973.277804
0031,00310000,Billerica,MuniK12,,N,,,,PK,12,68158855.1548,39129.8127597
0139,01390000,Hopkinton,MuniK12,,N,,,,PK,12,72137074.9595,36926.9137349
0125,01250000,Harvard,MuniK12,,N,,,,PK,12,70327484.6365,39222.2972849
0127,01270000,Hatfield,MuniK12,,N,,,,PK,12,43569506.9827,30192.9921214
0101,01010000,Franklin,MuniK12,,N,,,,PK,12,69998126.0055,36786.1208206
0153,01530000,Leominster,MuniK12,,N,,,,PK,12,76866230.7626,42258.665471
0018,00180000,Avon,MuniK12,,N,,,,PK,12,11754175.9711,14934.2415546
0064,00640000,Clinton,MuniK12,,N,,,,PK,12,18805461.0619,18720.9708178
0016,00160000,Attleboro,MuniK12,,N,,,,PK,12,71925427.5328,39370.2311179
0285,02850000,Stoughton,MuniK12,,N,,,,PK,12,42644406.8674,31388.1283161
0122,01220000,Hanover,MuniK12,,N,,,,PK,12,40478068.4934,30127.6984885
0210,02100000,Northampton,MuniK12,,N,,,,PK,12,92587330.1761,42457.1658489
0307,03070000,Walpole,MuniK12,,N,,,,PK,12,54554219.6294,37932.0536885
0347,03470000,Woburn,MuniK12,,N,,,,PK,12,33522274.0438,27522.3462022
0290,02900000,Sutton,MuniK12,,N,,,,PK,12,88125697.1745,46473.4973329
0100,01000000,Framingham,MuniK12,,N,,,,PK,12,68642060.1933,35082.75397
0305,03050000,Wakefield,MuniK12,,N,,,,PK,12,20704636.1337,22293.6663599
0251,02510000,Rockland,MuniK12,,N,,,,PK,12,26209250.3619,24690.1742631
0332,03320000,West Springfield,MuniK12,,N,,,,PK,12,45416675.1311,34348.431861
0073,00730000,Dedham,MuniK12,,N,,,,PK,12,27669925.4458,26695.826325
0162,01620000,Lunenburg,MuniK12,,N,,,,PK,12,71863140.0845,38127.2307277
0186,01860000,Millbury,MuniK12,,N,,,,PK,12,42590051.944,32222.2769947
0083,00830000,East Bridgewater,MuniK12,,N,,,,PK,12,45428309.9861,28489.3911542
0278,02780000,South Hadley,MuniK12,,N,,,,PK,12,47742393.2498,33276.4304141
0151,01510000,Leicester,MuniK12,,N,,,,PK,12,63799533.5172,32321.7353498
0271,02710000,Shrewsbury,MuniK12,,N,,,,PK,12,56348338.6348,32165.8765976
0308,03080000,Waltham,MuniK12,,N,,,,PK,12,35641539.7353,26261.417127
0217,02170000,North Reading,MuniK12,,N,,,,PK,12,34936710.7916,30483.1057807
0342,03420000,Wilmington,MuniK12,,N,,,,PK,12,44399123.0315,31733.7342423
0138,01380000,Hopedale,MuniK12,,N,,,,PK,12,13836175.4702,20150.3471579
0077,00770000,Douglas,MuniK12,,N,,,,PK,12,98158644.5747,44276.2722262
0103,01030000,Gardner,MuniK12,,N,,,,PK,12,59603256.5346,37834.076167
0330,03300000,Weston,MuniK12,,N,,,,PK,12,44885981.6288,30579.5459288
0191,01910000,Monson,MuniK12,,N,,,,PK,12,115984593.592,45989.136383
0226,02260000,Oxford,MuniK12,,N,,,,PK,12,71024192.6881,44612.8503778
0236,02360000,Pittsfield,MuniK12,,N,,,,PK,12,109989259.324,42063.9993402
0160,01600000,Lowell,MuniK12,,N,,,,PK,12,37630657.8659,28403.6640576
0344,03440000,Winchester,MuniK12,,N,,,,PK,12,16439015.8068,19080.5641317
0128,01280000,Haverhill,MuniK12,,N,,,,PK,12,92457998.4263,43123.4076072
0087,00870000,East Longmeadow,MuniK12,,N,,,,PK,12,33688897.8143,23285.4170463
0214,02140000,Northbridge,MuniK12,,N,,,,PK,12,46750345.4956,30706.1476727
0086,00860000,Easthampton,MuniK12,,N,,,,PK,12,35237336.2891,33943.9972683
0114,01140000,Greenfield,MuniK12,,N,,,,PK,12,56649477.6975,34664.7520135
0110,01100000,Grafton,MuniK12,,N,,,,PK,12,60355752.9669,33511.870244
0007,00070000,Amesbury,MuniK12,,N,,,,PK,12,35547168.617,26560.1469685
0204,02040000,Newburyport,MuniK12,,N,,,,PK,12,23933688.3065,35393.6026283
0144,01440000,Ipswich,MuniK12,,N,,,,PK,12,89515711.2777,74265.1321649
0234,02340000,Petersham,MuniElem,,N,,,Union 73,K,06,176748924.117,73405.7066295
